Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
3-Y-O,BRC,,MICK DITTMAN PLATE,1200,,746,4,2019-04-20,100000,MICK DITTMAN PLATE,,,O,QLD,,,Qlty,E FM,
3YO&Up,WATC,,SHEILA GWYNNE STAKES,1400,,702,4,2019-04-20,100000,MATCHMAKER CLASSIC,,,F&M,WA,,,SWP,ASCT,
2-Y-O,WATC,,W.A. SIRES' PRODUCE STAKES,1400,,467,3,2019-04-20,200000,WATC SIRES PRODUCE,,,O,WA,,,SW,ASCT,
3YO&Up,ATC,,HALL MARK STAKES,1200,,295,3,2019-04-20,160000,HALL MARK STAKES,,,O,NSW,,,SWP,RAND,
3-Y-O,ATC,,FRANK PACKER PLATE,2000,,266,3,2019-04-20,160000,FRANK PACKER PLATE,,,O,NSW,,,SW,RAND,
O,MRC,,EASTER CUP,2000,,240,3,2019-04-20,150000,VATC EASTER CUP,,,O,VIC,,,Hcp,CAUL,
3YO&Up,ATC,,JAPAN RACING ASSOC PLATE,2000,,643,3,2019-04-20,160000,JAPAN RACING ASSCTIAN PLT,,,O,NSW,,,Qlty,RAND,
3YO&Up,BRC,,ASCOT HANDICAP,1200,,115,4,2019-04-20,100000,ASCOT HANDICAP,,,O,QLD,,,Qlty,E FM,
3YO&Up,BRC,,TAILS QUALITY,2200,,238,4,2019-04-20,100000,TAILS QUALITY,,,O,QLD,,,Qlty,E FM,
3-Y-O,BRC,,PRINCESS STAKES,1600,,711,4,2019-04-20,100000,PRINCESS STAKES,,,F,QLD,,,SW,E FM,
O,OAKBANK RC,,OAKBANK STAKES,1100,,470,4,2019-04-20,100000,HILLS RAILWAY STAKES,,,O,SA,,,Qty,OAKB,
O,MRC,,VICTORIA HANDICAP,1400,,526,3,2019-04-20,150000,VICTORIA HANDICAP,,,O,VIC,,,Hcp,CAUL,
3YO&Up,ATC,,QUEEN OF THE TURF STAKES,1600,,415,1,2019-04-13,1000000,QUEEN OF THE TURF STAKES,,,F&M,NSW,,,WFA,RAND,
2-Y-O,ATC,,FERNHILL HANDICAP,1600,,259,4,2019-04-13,150000,FERNHILL HANDICAP,,,O,NSW,,,Qlty,RAND,
3YO&Up,ATC,,SAPPHIRE STAKES,1200,,650,2,2019-04-13,300000,SAPPHIRE STAKES,,,F&M,NSW,,,SWP,RAND,
3-Y-O,ATC,,ARROWFIELD 3YO SPRINT,1200,,441,2,2019-04-13,1000000,ROYAL SOVEREIGN STAKES,,,O,NSW,,,SW,RAND,
3-Y-O,SAJC,,SCHWEPPERVESCENCE STAKES,1800,,119,3,2019-04-13,120000,AURARIA STAKES,,,F,SA,,,SWP,MORP,
3-Y-O,ATC,,ATC OAKS,2400,,20,1,2019-04-13,1000000,ATC AUSTRALIAN OAKS,,,F,NSW,,,SW,RAND,
3YO&Up,ATC,,SYDNEY CUP,3200,,8,1,2019-04-13,2000000,SYDNEY CUP,,,O,NSW,,,Hcp,RAND,
3YO&Up,ATC,,QUEEN ELIZABETH STAKES,2000,,412,1,2019-04-13,4000000,AJC QUEEN ELIZABETH STAKES,,,O,NSW,,,WFA,RAND,
3-Y-O,ATC,,SOUTH PACIFIC CLASSIC,1400,,659,4,2019-04-13,150000,SOUTH PACIFIC CLASSIC,,,O,NSW,,,Qlty,RAND,
2-Y-O,ATC,,PERCY SYKES STAKES,1200,,321,2,2019-04-13,1000000,KEITH MACKAY HANDICAP,,,F,NSW,,,SWP,RAND,
O,SAJC,,R N IRWIN STAKES,1100,,314,3,2019-04-13,120000,R N IRWIN STAKES,,,O,SA,,,WFA,MORP,
O,MRC,,ANNIVERSARY VASE,1400,,697,4,2019-04-13,120000,ANNIVERSARY VASE,,,O,VIC,,,Hcp,CAUL,
3-Y-O,WATC,,RACONTEUR STAKES,1500,,420,4,2019-04-13,100000,RACONTEUR STKS,,,O,WA,,,SWP,ASCT,
3-Y-O,WATC,,W.A.T.C. DERBY,2400,,45,2,2019-04-13,400000,W.A.T.C. DERBY,,,O,WA,,,SW,ASCT,
O,MRC,,BEL ESPRIT STAKESÂ,1200,,938,4,2019-04-13,120000,BEL ESPRIT STAKES,,,O,VIC,,,Hcp,CAUL,
2-Y-O,SAJC,,DEQUETTEVILLE STAKES,1050,,230,4,2019-04-13,100000,DEQUETTEVILLE STAKES,,,F,SA,,,SW,MORP,
3-Y-O,SAJC,,REDELVA STAKES,1100,,631,4,2019-04-13,100000,REDELVA STAKES,,,O,SA,,,SWP,MORP,
3-Y-O,SAJC,,PORT ADELAIDE GUINEAS,1800,,404,4,2019-04-13,100000,PORT ADELAIDE GUINEAS,,,O,SA,,,SW,MORP,
3YO&Up,PINJARRA RC,,PINJARRA CUP,2300,,402,4,2019-04-07,120000,PINJARRA CUP,,,O,WA,,,Qlty,PINJ,
3-Y-O,ATC,,P J BELL STAKES,1200,,107,3,2019-04-06,200000,P J BELL STAKES,,,F,NSW,,,SWP,RAND,
3YO&Up,ATC,,DONCASTER HANDICAP,1600,,13,1,2019-04-06,3000000,DONCASTER HANDICAP,,,O,NSW,,,Hcp,RAND,
O,ATC,,T J SMITH STAKES,1200,,646,1,2019-04-06,2500000,T J SMITH STAKES,,,O,NSW,,,WFA,RAND,
3-Y-O,ATC,,ATC AUSTRALIAN DERBY,2400,,5,1,2019-04-06,2000000,ATC AUSTRALIAN DERBY,,,O,NSW,,,SW,RAND,
2-Y-O,ATC,,ATC SIRES PRODUCE STAKES,1400,,10,1,2019-04-06,1000000,ATC SIRES PRODUCE STAKES,,,O,NSW,,,SW,RAND,
3YO&Up,ATC,,CHAIRMAN'S HANDICAP,2600,,182,2,2019-04-06,300000,AJC CHAIRMANS HANDICAP,,,O,NSW,,,Qlty,RAND,
3-Y-O,ATC,,ADRIAN KNOX QLTY STAKES,2000,,101,3,2019-04-06,200000,ADRIAN KNOX STAKES,,,F,NSW,,,Qlty,RAND,
3-Y-O,ATC,,CARBINE CLUB STAKES,1600,,167,3,2019-04-06,200000,AJC CARBINE CLUB STAKES,,,O,NSW,,,SWP,RAND,
2-Y-O,ATC,,KINDERGARTEN STAKES,1100,,571,3,2019-04-06,200000,KINDERGARTEN STAKES,,,O,NSW,,,SW,RAND,
O,TOO TC,,WEETWOOD HANDICAP,1200,,538,4,2019-04-06,150000,WEETWOOD HANDICAP,,,O,QLD,,,Qlty,TWBA,
3-Y-O,MRC,,GALILEE SERIES FINAL,2400,,729,4,2019-04-06,150000,GALILEE SERIES FINAL,,,O,VIC,,,SWP,CAUL,
2-Y-O,WATC,,KARRAKATTA PLATE,1200,,320,2,2019-04-06,500000,KARRAKATTA PLATE,,,O,WA,,,SW,ASCT,
2YO&Up,WATC,,OLD COMRADE STAKES,1600,,554,4,2019-04-06,100000,YORK HCP,,,O,WA,,,Qlty,ASCT,
3YO&Up,ATC,,STAR KINGDOM STAKES,1200,,481,3,2019-03-30,160000,STAR KINGDOM STKS,,,O,NSW,,,Qlty,RHIL,
3YO&Up,ATC,,H E TANCRED STAKES,2400,,3,1,2019-03-30,1500000,H E TANCRED STAKES,,,O,NSW,,,WFA,RHIL,
3-Y-O,ATC,,VINERY STUD STAKES,2000,,484,1,2019-03-30,500000,STORM QUEEN STAKES,,,F,NSW,,,SW,RHIL,
3-Y-O,ATC,,TULLOCH STAKES,2000,,174,2,2019-03-30,175000,TULLOCH STAKES,,,C&G,NSW,,,SW,RHIL,
