MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
9/04/2011,430,4,SA,SAJC,MORP,CITY OF ADELAIDE HANDICAP,1400,80000,O,O,Qlty,CITY OF ADELAIDE HCP,BUDRIGUEZ,TIME MATTERS,GOON SERPENT
9/04/2011,107,4,NSW,AJC,RAND,P J BELL HANDICAP,1200,100000,3-Y-O,F,Hcp,P J BELL HANDICAP,RED TRACER,STEPS IN TIME,PALOMARES
9/04/2011,683,4,QLD,BRC,DOOM,BRIGHT SHADOW QUALITY,1200,100000,3YO&Up,F&M,Hcp,BRIGHT SHADOW QUALITY,JASMINKA,ALBERTON PARK,JUST BEEN LUCKY
9/04/2011,697,4,VIC,MRC,CAUL,ANNIVERSARY VASE,1400,100000,O,O,Hcp,ANNIVERSARY VASE,ZEDI KNIGHT,CARRARA,LADY LYNETTE
9/04/2011,729,4,VIC,VRC,FLEM,GALILEE SERIES FINAL,2500,100000,3-Y-O,O,Hcp,GALILEE SERIES FINAL,ALMODOVAR,RIGHT OF REFUSAL,CUBAN SUNDAY
16/04/2011,13,1,NSW,AJC,RAND,DONCASTER HANDICAP,1600,1500000,3YO&Up,O,Hcp,DONCASTER HANDICAP,SACRED CHOICE,LOVE CONQUERS ALL,SYREON
16/04/2011,20,1,NSW,AJC,RAND,AJC OAKS,2400,350000,3-Y-O,F,SW,AJC AUSTRALIAN OAKS,ABSOLUTELY,SHAMROCKER,PINKER PINKER
16/04/2011,272,1,NSW,AJC,RAND,THE GALAXY,1100,350000,O,O,Hcp,THE GALAXY,ATOMIC FORCE,THANKGODYOU'REHERE,CARDINAL VIRTUE
16/04/2011,414,2,SA,SAJC,MORP,QUEEN OF THE SOUTH STAKES,1600,175000,3YO&Up,F&M,SWP,QUEEN OF THE SOUTH STAKES,GOON SERPENT,LADY LYNETTE,OCEAN CHALLENGER
16/04/2011,350,3,SA,SAJC,MORP,DC MCKAY STAKES,1100,115000,O,O,Qlty,D C MCKAY STAKES,STREETCAR MAGIC,VALENTINE MISS,PINWHEEL
16/04/2011,259,4,NSW,AJC,RAND,FERNHILL HANDICAP,1600,100000,2-Y-O,O,Hcp,FERNHILL HANDICAP,DARCI BE GOOD,COCKY RAIDER,CONTINENTAL FLYER
16/04/2011,315,4,QLD,BRC,DOOM,BRIBIE HANDICAP,1200,75000,O,O,Hcp,BRIBIE HANDICAP,AZZALAND,FASTER SON,CASHOLET
16/04/2011,321,4,NSW,AJC,RAND,KEITH MACKAY HANDICAP,1200,100000,2-Y-O,F,Qlty,KEITH MACKAY HANDICAP,STREAMA,CHARM'S HONOUR,HOUSTON BENEFACTOR
16/04/2011,224,4,NSW,STC,RHIL,DARBY MUNRO STAKES,1200,150000,3-Y-O,O,Qlty,DARBY MUNRO STKS,,,
16/04/2011,404,4,SA,SAJC,MORP,PORT ADELAIDE GUINEAS,1800,80000,3-Y-O,O,SW,PORT ADELAIDE GUINEAS,ECHOES OF HEAVEN,CONDELAGO,BACKGAMMON
16/04/2011,643,4,NSW,AJC,RAND,JAPAN RACING ASSOC PLATE,2000,100000,O,O,Qlty,JAPAN RACING ASSCTIAN PLT,HAWK ISLAND,GALIZANI,VINTEDGE
